TEMEL BILGILER - Baslik;TEMEL BILGILER - Arac Turu;TEMEL BILGILER - Govde Tipi;TEMEL BILGILER - Segment;TEMEL BILGILER - Marka;TEMEL BILGILER - Seri;TEMEL BILGILER - Model;TEMEL BILGILER - Donanim Paketi;TEMEL BILGILER - Model Yili;TEMEL BILGILER - Uretim Ulkesi;MOTOR - Yakit Turu;MOTOR - Yakit Tipi;MOTOR - Motor Tipi;MOTOR (Fosil Yakit) - Besleme Tipi;MOTOR (Fosil Yakit) - Silindir Adedi;MOTOR (Fosil Yakit) - Silindir Hacmi;MOTOR (Fosil Yakit) - Yakit Puskurtme;MOTOR (Elektrik) - Motor Gucu;MOTOR (Elektrik) - Batarya Kapasitesi;MOTOR (Elektrik) - Batarya Tipi;SANZIMAN - Sanziman Turu;SANZIMAN - Sanziman Modeli;SANZIMAN - Vites Sayisi;PERFORMANS - PERFORMANS PUANI;PERFORMANS - Beygir Gucu;PERFORMANS - Azami Tork;PERFORMANS - Azami Hiz;PERFORMANS - 0-100 Km Hizlanma;CEKIS SISTEMI - Cekis Turu;CEKIS SISTEMI - Cekis Kontrol Sistemi;BOYUTLAR - KONFOR PUANI;BOYUTLAR - Ic Hacim;BOYUTLAR - Uzunluk;BOYUTLAR - Genislik;BOYUTLAR - Yukseklik;BOYUTLAR - Ağirlik;BOYUTLAR - Bagaj Hacmi (Standart);BOYUTLAR - Bagaj Hacmi (Genisletilmis);LASTIK & JANT - Lastik Ebatlari;LASTIK & JANT - Jant Capi;LASTIK & JANT - Kesit Orani;LASTIK & JANT - Taban Genisliği;DIS DONANIM - Kapi Sayisi;DIS DONANIM- Far Tipi;DIS DONANIM- Sis Farlari;IC DONANIM - Koltuk Sayisi;IC DONANIM - Doseme Tipi;IC DONANIM - Surucu Koltuğu Ayarlari;IC DONANIM - On Yolcu Koltuğu Ayarlari;IC DONANIM - Klima;SENSORLER - Far Sensoru;SENSORLER - Yağmur Sensoru;SENSORLER - Lastik Basinc Sensoru;SENSORLER - Park Sensoru & Yardimcisi;GUVENLIK - GUVEN PUANI;GUVENLIK - Hava Yastiği Adedi;GUVENLIK - NCAP/ANCAP Puani;EKONOMI - EKO PUANI;EKONOMI - Tahmini Bakim Masrafi;EKONOMI - Yillik MTV Tutari;EKONOMI - Ortalama Yakit Tuketimi (100 km);EKONOMI - Sehir Ici Tuketim (100 km);EKONOMI - Sehir Disi Tuketim (100 km);EKONOMI (Fosil Yakit) - Yakit Kapasitesi (lt);EKONOMI (Elektrik) - Menzil (WLTP - Birlesik);EKONOMI (Elektrik) - Menzil (WLTP - Sehir Ici);EKONOMI (Elektrik) - Sarj Suresi;EMISYON - Emisyon Standardi;EMISYON - Ortalama Emisyon
Peugeot Expert Traveller 2.0 BlueHDi 180 HP EAT6 (8+1);Ticari;Kombi;Hafif Ticari;Peugeot;Expert Traveller;Expert Traveller;Standart;2017;Fransa;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1997;Common Rail Direkt Enjeksiyon;;;;Otomatik;EAT6;6 ileri;61;180;400;170;9,8;Onden Cekisli;Var;91;119;5309;1920;1940;1719;989;4900;215/60 R17;17;60%;215;5; LED; Var;9;Kumas;Manuel;Manuel;Otomatik Klima;Var;Var;Var;Var;56;4;3;43;70;10613;6,09;6,3;5,5;70;;;;EURO 6;155
Peugeot Expert Traveller 2.0 BlueHDi 180 HP S&S EAT6 (8+1);Ticari;Kombi;Hafif Ticari;Peugeot;Expert Traveller;Expert Traveller;Standart;2018;Fransa;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1997;Common Rail Direkt Enjeksiyon;;;;Otomatik;EAT6;6 ileri;61;180;400;170;9,8;Onden Cekisli;Var;91;119;5309;1920;1940;1719;989;4900;215/60 R17;17;60%;215;5; LED; Var;9;Kumas;Manuel;Manuel;Otomatik Klima;Var;Var;Var;Var;56;4;3;40;70;11674;6,09;6,3;5,5;70;;;;EURO 6.2;155
Porsche Boxster S 3.4 315 PS;Binek;Roadster;S;Porsche;Boxster;Boxster S;Standart;2016;Almanya;Fosil Yakit;Benzin;Icten Yanmali (Standart);Cift Turbo;6;3436;DFI (Dogrudan Yakit Enjeksiyonu);;;;Manuel;Manuel;6 ileri;93;315;360;279;5,1;Arkadan Itisli;Var;81;61;4374;1801;1281;1395;280;Koltuklar Katlanmiyor;235/40 R19;19;40%;235;3;LED;Var;2;Deri;Manuel;Manuel;Otomatik Klima;Var;Var;Var;Var;58;6;Test Edilmemis;-75;54;40486;10,28;12,7;7,1;64;;;;EURO 6;211
Skoda Fabia 1.2 70 PS Dinamik;Binek;Hatchback;B;Skoda;Fabia;Fabia;Dinamik;2014;Cek Cumhuriyeti > Almanya;Fosil Yakit;Benzin;Icten Yanmali (Standart);Atmosferik;3;1198;Cok Noktadan Enjeksiyon;;;;Manuel;Manuel;5 ileri;40;70;112;163;14,9;Onden Cekisli;Var;60;68;4000;1886;1498;1095;300;1163;195/55 R15;15;55%;195;5; Halojen; Var;5;Kumas;Manuel;Manuel;Otomatik Klima;Yok;Yok;Var;Yok;61;2;4;90;91;1882;6,12;7,3;4,5;45;;;;EURO 5;128
Skoda Fabia 1.2 TSI 110 HP DSG Style;Binek;Hatchback;B;Skoda;Fabia;Fabia;Style;2015, 2016, 2017;Cek Cumhuriyeti > Almanya;Fosil Yakit;Benzin;Icten Yanmali (Standart);Turbo;4;1197;Elektronik Dogrudan Enjeksiyon;;;;Otomatik;DSG (YO);7 ileri;53;110;175;196;9,6;Onden Cekisli;Var;59;58;3992;1732;1400;1129;305;1125;185/60 R15;15;60%;185;5; Halojen; Var;5;Kumas;Manuel;Manuel;Otomatik Klima;Var;Yok;Var;Yok;95;4;5;90;80;1882;5,12;5,8;4,1;45;;;;EURO 5;109
Skoda Fabia 1.2 TSI 90 HP Style;Binek;Hatchback;B;Skoda;Fabia;Fabia;Style;2015;Cek Cumhuriyeti > Almanya;Fosil Yakit;Benzin;Icten Yanmali (Standart);Turbo;4;1197;Elektronik Dogrudan Enjeksiyon;;;;Manuel;Manuel;5 ileri;49;90;160;182;10,9;Onden Cekisli;Var;59;58;3992;1732;1400;1109;305;1125;185/60 R15;15;60%;185;5; Halojen; Var;5;Kumas;Manuel;Manuel;Otomatik Klima;Var;Yok;Var;Yok;95;4;5;92;87;1882;5,18;6;4;45;;;;EURO 5;107
Skoda Fabia 1.4 TDI 90 HP DSG Style;Binek;Hatchback;B;Skoda;Fabia;Fabia;Style;2015, 2016, 2017;Cek Cumhuriyeti > Almanya;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;3;1422;Common Rail Direkt Enjeksiyon;;;;Otomatik;DSG (YO);7 ileri;51;90;230;182;11,1;Onden Cekisli;Var;60;58;3992;1732;1400;1186;305;1125;185/60 R15;15;60%;185;5; Halojen; Var;5;Kumas;Manuel;Manuel;Otomatik Klima;Var;Yok;Var;Yok;96;4;5;90;82;3661;3,82;4;3,4;45;;;;EURO 5;94
Skoda Fabia 1.4 TDI 90 HP Style;Binek;Hatchback;B;Skoda;Fabia;Fabia;Style;2015;Cek Cumhuriyeti > Almanya;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;3;1422;Common Rail Direkt Enjeksiyon;;;;Manuel;Manuel;5 ileri;52;90;230;182;11,1;Onden Cekisli;Var;59;58;3992;1732;1400;1154;305;1125;185/60 R15;15;60%;185;5; Halojen; Var;5;Kumas;Manuel;Manuel;Otomatik Klima;Var;Yok;Var;Yok;95;4;5;93;89;3661;3,67;4;3,1;45;;;;EURO 5;88
Skoda Fabia 1.2 TSI 90 HP Green Tec Style;Binek;Hatchback;B;Skoda;Fabia;Fabia;Style;2016, 2017;Cek Cumhuriyeti > Almanya;Fosil Yakit;Benzin;Icten Yanmali (Standart);Turbo;4;1197;Direkt Enjeksiyon;;;;Manuel;Manuel;5 ileri;49;90;160;182;10,9;Onden Cekisli;Var;59;61;3992;1732;1467;1109;305;1125;185/60 R15;15;60%;185;5; Halojen; Var;5;Kumas;Manuel;Manuel;Otomatik Klima;Var;Yok;Var;Var;95;4;5;92;87;1882;5,18;6;4;45;;;;EURO 6;107
Skoda Fabia 1.0 110 HP DSG Style;Binek;Hatchback;B;Skoda;Fabia;Fabia;Style;2017, 2018;Cek Cumhuriyeti > Almanya;Fosil Yakit;Benzin;Icten Yanmali (Standart);Turbo;3;999;Elektronik Dogrudan Enjeksiyon;;;;Otomatik;DSG (YO);7 ileri;54;110;200;196;9,8;Onden Cekisli;Var;60;61;3992;1732;1467;1164;305;1125;185/60 R15;15;60%;185;5; LED; Var;5;Kumas;Manuel;Manuel;Otomatik Klima;Var;Var;Var;Var;96;4;5;92;84;1882;4,91;5,4;4,1;45;;;;EURO 6;106
Skoda Fabia 1.0 95 HP Green Tec Style;Binek;Hatchback;B;Skoda;Fabia;Fabia;Style;2017;Cek Cumhuriyeti > Almanya;Fosil Yakit;Benzin;Icten Yanmali (Standart);Atmosferik;3;999;Cok Noktadan Enjeksiyon;;;;Manuel;Manuel;5 ileri;50;95;160;185;10,6;Onden Cekisli;Var;59;61;3992;1732;1467;1110;305;1125;185/60 R15;15;60%;185;5; LED; Var;5;Kumas;Manuel;Manuel;Otomatik Klima;Var;Yok;Var;Var;95;4;5;96;92;1882;4,71;5,2;3,9;45;;;;EURO 6;101
Ford Fiesta 1.0 EcoBoost 100 PS PowerShift ESP Titanium;Binek;Hatchback;B;Ford;Fiesta;Fiesta;Titanium;2016;Amerika;Fosil Yakit;Benzin;Icten Yanmali (Standart);Turbo;3;999;Direkt Enjeksiyon;;;;Otomatik;PowerShift (YO);6 ileri;50;100;170;180;10,8;Onden Cekisli;Var;58;63;3969;1764;1495;1122;276;974;195/50 R15;15;50%;195;5; Halojen; Var;5;Kumas;Manuel;Manuel;Otomatik Klima;Yok;Yok;Var;Var;86;2;5;91;85;1882;5,45;6,6;3,9;42;;;;EURO 6;114
Ford Fiesta 1.4 96 PS ESP Titanium;Binek;Hatchback;B;Ford;Fiesta;Fiesta;Titanium;2016;Amerika;Fosil Yakit;Benzin;Icten Yanmali (Standart);Atmosferik;4;1387;Cok Noktadan Enjeksiyon;;;;Manuel;Manuel;5 ileri;46;96;128;175;12,2;Onden Cekisli;Var;57;63;3969;1764;1495;1054;276;974;195/50 R15;15;50%;195;5; Halojen; Var;5;Kumas;Manuel;Manuel;Otomatik Klima;Yok;Yok;Var;Var;85;2;5;83;86;3661;6,22;7,4;4,6;42;;;;EURO 6;130
Ford Fiesta 1.5 TDCi 75 PS ESP Titanium;Binek;Hatchback;B;Ford;Fiesta;Fiesta;Titanium;2016;Amerika;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1498;Common Rail Direkt Enjeksiyon;;;;Manuel;Manuel;5 ileri;45;75;185;167;13,5;Onden Cekisli;Var;58;63;3969;1764;1495;1118;276;974;195/50 R15;15;50%;195;5; Halojen; Var;5;Kumas;Manuel;Manuel;Otomatik Klima;Yok;Yok;Var;Var;86;2;5;91;86;3661;3,98;4,4;3,3;40;;;;EURO 6;98
Ford Fiesta 1.6 105 PS PowerShift ESP Titanium;Binek;Hatchback;B;Ford;Fiesta;Fiesta;Titanium;2016;Amerika;Fosil Yakit;Benzin;Icten Yanmali (Standart);Atmosferik;4;1597;Cok Noktadan Enjeksiyon;;;;Otomatik;PowerShift (YO);6 ileri;50;105;150;184;10,5;Onden Cekisli;Var;58;63;3969;1764;1495;1098;276;974;195/50 R15;15;50%;195;5; Halojen; Var;5;Kumas;Manuel;Manuel;Otomatik Klima;Yok;Yok;Var;Var;85;2;5;77;76;3661;6,7;8,4;4,5;42;;;;EURO 6;138
Ford Fiesta 1.0 100 PS Otomatik ST Line;Binek;Hatchback;B;Ford;Fiesta;Fiesta;ST Line;2017, 2018;Amerika;Fosil Yakit;Benzin;Icten Yanmali (Standart);Turbo;3;998;Direkt Enjeksiyon;;;;Otomatik; Tork Konvertorlu;6 ileri;47;100;170;180;12,2;Onden Cekisli;Var;68;62;4040;1735;1476;1206;292;1000;205/45 R17;17;45%;205;5; LED; Var;5;Kumas;Manuel;Manuel;Otomatik Klima;Var;Var;Var;Yok;86;2;5;86;85;1882;5,76;6,9;4,2;42;;;;EURO 6;112
Ford Fiesta 1.0 100 PS Otomatik Titanium;Binek;Hatchback;B;Ford;Fiesta;Fiesta;Titanium;2017, 2018;Amerika;Fosil Yakit;Benzin;Icten Yanmali (Standart);Turbo;3;998;Direkt Enjeksiyon;;;;Otomatik; Tork Konvertorlu;6 ileri;47;100;170;180;12,2;Onden Cekisli;Var;65;62;4040;1735;1476;1206;292;1000;195/55 R16;16;55%;195;5; LED; Var;5;Kumas;Manuel;Manuel;Otomatik Klima;Var;Var;Var;Yok;86;2;5;87;85;1882;5,76;6,9;4,2;42;;;;EURO 6;112
Ford Fiesta 1.1 85 PS Titanium;Binek;Hatchback;B;Ford;Fiesta;Fiesta;Titanium;2017, 2018;Amerika;Fosil Yakit;Benzin;Icten Yanmali (Standart);Atmosferik;3;1084;Direkt Enjeksiyon;;;;Manuel;Manuel;5 ileri;42;85;110;170;14;Onden Cekisli;Var;64;62;4040;1735;1476;1135;292;974;195/55 R16;16;55%;195;5; Halojen; Var;5;Kumas;Manuel;Manuel;Otomatik Klima;Var;Var;Var;Yok;86;2;5;94;92;1882;4,82;5,6;3,7;42;;;;EURO 6;101
Ford Fiesta 1.4 96 PS Titanium;Binek;Hatchback;B;Ford;Fiesta;Fiesta;Titanium;2017;Amerika;Fosil Yakit;Benzin;Icten Yanmali (Standart);Atmosferik;4;1387;Cok Noktadan Enjeksiyon;;;;Manuel;Manuel;5 ileri;46;96;128;175;12,2;Onden Cekisli;Var;57;63;3969;1764;1495;1054;276;974;195/50 R15;15;50%;195;5; Halojen; Var;5;Kumas;Manuel;Manuel;Otomatik Klima;Yok;Yok;Var;Var;85;2;5;83;86;3661;6,22;7,4;4,6;42;;;;EURO 6;130
Ford Fiesta 1.5 TDCi 75 PS Titanium;Binek;Hatchback;B;Ford;Fiesta;Fiesta;Titanium;2017;Amerika;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1498;Common Rail Direkt Enjeksiyon;;;;Manuel;Manuel;5 ileri;45;75;185;167;13,5;Onden Cekisli;Var;58;63;3969;1764;1495;1118;276;974;195/50 R15;15;50%;195;5; Halojen; Var;5;Kumas;Manuel;Manuel;Otomatik Klima;Yok;Yok;Var;Var;86;2;5;91;86;3661;3,98;4,4;3,3;40;;;;EURO 6;98
Ford Fiesta 1.5 TDCi 85 PS Titanium;Binek;Hatchback;B;Ford;Fiesta;Fiesta;Titanium;2017, 2018;Amerika;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1499;Common Rail Direkt Enjeksiyon;;;;Manuel;Manuel;6 ileri;48;85;215;175;12,5;Onden Cekisli;Var;65;62;4040;1735;1476;1191;292;1093;195/55 R16;16;55%;195;5; Halojen; Var;5;Kumas;Manuel;Manuel;Otomatik Klima;Var;Var;Var;Yok;86;2;5;90;85;3661;3,67;3,9;3,2;42;;;;EURO 6;89
Ford Fiesta 1.6 105 PS PowerShift Titanium;Binek;Hatchback;B;Ford;Fiesta;Fiesta;Titanium;2017;Amerika;Fosil Yakit;Benzin;Icten Yanmali (Standart);Atmosferik;4;1597;Cok Noktadan Enjeksiyon;;;;Otomatik;PowerShift (YO);6 ileri;50;105;150;184;10,5;Onden Cekisli;Var;58;63;3969;1764;1495;1098;276;974;195/50 R15;15;50%;195;5; Halojen; Var;5;Kumas;Manuel;Manuel;Otomatik Klima;Yok;Yok;Var;Var;85;2;5;77;76;3661;6,7;8,4;4,5;42;;;;EURO 6;138
Ford Fiesta 1.0i 100 PS EcoBoost PowerShift Titanium;Binek;Hatchback;B;Ford;Fiesta;Fiesta 1,0I;Titanium;2014;Amerika;Fosil Yakit;Benzin;Icten Yanmali (Standart);Atmosferik;4;999;Cok Noktadan Enjeksiyon;;;;Otomatik;PowerShift (YO);5 ileri;50;100;170;180;11,2;Onden Cekisli;Yok;58;63;3969;1764;1495;1101;276;974;195/50 R15;15;50%;195;5; Halojen; Var;5;Kumas;Manuel;Manuel;Otomatik Klima;Yok;Yok;Var;Yok;85;2;5;92;82;1882;4,98;5,9;3,7;42;;;;EURO 5;105
Ford Fiesta 1.4i 96 PS Titanium;Binek;Hatchback;B;Ford;Fiesta;Fiesta 1,4I;Titanium;2014;Amerika;Fosil Yakit;Benzin;Icten Yanmali (Standart);Atmosferik;4;1387;Cok Noktadan Enjeksiyon;;;;Manuel;Manuel;5 ileri;46;96;128;175;12,2;Onden Cekisli;Yok;57;63;3969;1764;1495;1054;276;974;195/50 R15;15;50%;195;5; Halojen; Var;5;Kumas;Manuel;Manuel;Otomatik Klima;Yok;Yok;Var;Yok;85;2;5;82;86;3661;6,28;7,6;4,5;42;;;;EURO 5;130
Ford Fiesta 1.5L Duratorq TDCi 75 PS Titanium;Binek;Hatchback;B;Ford;Fiesta;Fiesta 1,5L Duratorq Tdci;Titanium;2014;Amerika;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1498;Common Rail Direkt Enjeksiyon;;;;Manuel;Manuel;5 ileri;45;75;185;167;13,5;Onden Cekisli;Yok;58;63;3969;1764;1495;1118;276;974;195/50 R15;15;50%;195;5; Halojen; Var;5;Kumas;Manuel;Manuel;Otomatik Klima;Yok;Yok;Var;Yok;86;2;5;91;86;3661;3,98;4,4;3,3;40;;;;EURO 5;98
Ford Fiesta 1.6i 105 PS PowerShift Titanium;Binek;Hatchback;B;Ford;Fiesta;Fiesta 1,6I;Titanium;2014;Amerika;Fosil Yakit;Benzin;Icten Yanmali (Standart);Atmosferik;4;1597;Cok Noktadan Enjeksiyon;;;;Otomatik;PowerShift (YO);6 ileri;51;105;150;184;10,5;Onden Cekisli;Yok;57;63;3969;1764;1495;1055;276;974;195/50 R15;15;50%;195;5; Halojen; Var;5;Kumas;Manuel;Manuel;Otomatik Klima;Yok;Yok;Var;Yok;85;2;5;77;76;3661;6,7;8,4;4,5;42;;;;EURO 5;138
Ford Fiesta 5K 1.5 TDCi 75 PS ESP Titanium;Binek;Hatchback;B;Ford;Fiesta;Fiesta 5K;Titanium;2015;Amerika;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1498;Common Rail Direkt Enjeksiyon;;;;Manuel;Manuel;5 ileri;45;75;185;167;13,5;Onden Cekisli;Var;58;63;3969;1764;1495;1118;276;974;195/50 R15;15;50%;195;5; Halojen; Var;5;Kumas;Manuel;Manuel;Otomatik Klima;Yok;Yok;Var;Yok;86;2;5;91;86;3661;3,98;4,4;3,3;40;;;;EURO 5;98
Ford Fiesta 5K 1.6 105 PS ESP PowerShift Titanium;Binek;Hatchback;B;Ford;Fiesta;Fiesta 5K;Titanium;2015;Amerika;Fosil Yakit;Benzin;Icten Yanmali (Standart);Atmosferik;4;1597;Cok Noktadan Enjeksiyon;;;;Otomatik;PowerShift (YO);6 ileri;50;105;150;184;10,5;Onden Cekisli;Var;58;63;3969;1764;1495;1098;276;974;195/50 R15;15;50%;195;5; Halojen; Var;5;Kumas;Manuel;Manuel;Otomatik Klima;Yok;Yok;Var;Yok;85;2;5;77;76;3661;6,7;8,4;4,5;42;;;;EURO 5;138
Ford Fiesta 5K 1.0i EcoBoost 100 PS ESP PowerShift Titanium;Binek;Hatchback;B;Ford;Fiesta;Fiesta 5K 1,0I Ecoboost;Titanium;2015;Amerika;Fosil Yakit;Benzin;Icten Yanmali (Standart);Turbo;3;999;Cok Noktadan Enjeksiyon;;;;Otomatik;PowerShift (YO);6 ileri;50;100;170;180;10,8;Onden Cekisli;Var;58;63;3969;1764;1495;1122;276;974;195/50 R15;15;50%;195;5; Halojen; Var;5;Kumas;Manuel;Manuel;Otomatik Klima;Yok;Yok;Var;Yok;86;2;5;91;85;1882;5,45;6,6;3,9;42;;;;EURO 5;114
Ford Fiesta 5K 1.4i 96 PS ESP Titanium;Binek;Hatchback;B;Ford;Fiesta;Fiesta 5K 1,4I;Titanium;2015;Amerika;Fosil Yakit;Benzin;Icten Yanmali (Standart);Atmosferik;4;1387;Cok Noktadan Enjeksiyon;;;;Manuel;Manuel;5 ileri;46;96;128;175;12,2;Onden Cekisli;Var;57;63;3969;1764;1495;1054;276;974;195/50 R15;15;50%;195;5; Halojen; Var;5;Kumas;Manuel;Manuel;Otomatik Klima;Yok;Yok;Var;Yok;85;2;5;82;86;3661;6,28;7,6;4,5;42;;;;EURO 5;130
Renault Fluence 1.5 dCi 110 HP EDC Icon;Binek;Sedan;C;Renault;Fluence;Fluence;Icon;2014, 2016;Fransa;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1461;Common Rail Direkt Enjeksiyon;;;;Otomatik;EDC (Cift Kavramali Otm,);6 ileri;51;110;240;190;11,9;Onden Cekisli;Var;73;74;4622;1809;1479;1389;530;Koltuklar Katlanmiyor;205/65 R16;16;65%;205;5; Halojen; Var;5;Kumas & Deri;Manuel;Manuel;Otomatik Klima;Var;Var;Yok;Var;84;6;4;80;77;3661;4,76;5,2;4;60;;;;EURO 5;114
Renault Fluence 1.5 dCi 110 HP Icon;Binek;Sedan;C;Renault;Fluence;Fluence;Icon;2014, 2016;Fransa;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1461;Cok Noktadan Enjeksiyon;;;;Manuel;Manuel;6 ileri;52;110;240;185;11;Onden Cekisli;Var;73;74;4622;1809;1479;1360;530;Koltuklar Katlanmiyor;205/65 R16;16;65%;205;5; Halojen; Var;5;Kumas & Deri;Manuel;Manuel;Otomatik Klima;Var;Var;Yok;Var;84;6;4;82;84;3661;4,97;5,6;4;60;;;;EURO 5;120
Renault Fluence 1.5 dCi 110 BG EDC Icon;Binek;Sedan;C;Renault;Fluence;Fluence;Icon;2015;Fransa;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1461;Common Rail Direkt Enjeksiyon;;;;Otomatik;EDC (Yari );6 ileri;51;110;240;190;11,9;Onden Cekisli;Var;73;74;4622;1809;1479;1389;530;Koltuklar Katlanmiyor;205/65 R16;16;65%;205;5; Halojen; Var;5;Kumas & Deri;Manuel;Manuel;Otomatik Klima;Var;Var;Yok;Var;84;6;4;80;77;3661;4,76;5,2;4;60;;;;EURO 5;114
Renault Fluence 1.5 dCi 110 BG Icon;Binek;Sedan;C;Renault;Fluence;Fluence;Icon;2015;Fransa;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1461;Common Rail Direkt Enjeksiyon;;;;Manuel;Manuel;6 ileri;52;110;240;185;11;Onden Cekisli;Var;73;74;4622;1809;1479;1360;530;Koltuklar Katlanmiyor;205/65 R16;16;65%;205;5; Halojen; Var;5;Kumas & Deri;Manuel;Manuel;Otomatik Klima;Var;Var;Yok;Var;84;6;4;82;84;3661;4,97;5,6;4;60;;;;EURO 5;120
Ford Focus 1.0 EcoBoost 125 PS Titanium;Binek;Sedan;C;Ford;Focus;Focus;Titanium;2014;Amerika;Fosil Yakit;Benzin;Icten Yanmali (Standart);Turbo;4;999;Cok Noktadan Enjeksiyon;;;;Manuel;Manuel;6 ileri;50;125;170;195;11,4;Onden Cekisli;Var;70;74;4534;1823;1484;1306;372;1502;215/55 R16;16;55%;215;5; Halojen; Var;5;Kumas;Manuel;Manuel;Otomatik Klima;Var;Var;Yok;Var;108;6;5;87;88;1882;5,59;6,4;4,4;55;;;;EURO 5;117
Ford Focus 1.5 TDCi 120 PS Titanium;Binek;Sedan;C;Ford;Focus;Focus;Titanium;2018;Amerika;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1500;Common Rail Direkt Enjeksiyon;;;;Manuel;Manuel;6 ileri;58;120;300;199;10;Onden Cekisli;Var;75;74;4647;1825;1454;1367;511;1215;215/50 R17;17;50%;215;5; LED; Var;5;Kumas;Manuel;Manuel;Otomatik Klima;Var;Var;Var;Var;109;6;5;86;84;3661;3,67;3,9;3,2;47;;;;EURO 6.2;90
Ford Focus 1.5 Ti-VCT 123 PS Titanium;Binek;Sedan;C;Ford;Focus;Focus;Titanium;2018, 2019, 2020;Amerika;Fosil Yakit;Benzin;Icten Yanmali (Standart);Turbo;4;1500;Common Rail Direkt Enjeksiyon;;;;Manuel;Manuel;6 ileri;49;123;150;196;11,2;Onden Cekisli;Var;74;74;4647;1825;1454;1312;511;Koltuklar Katlanmiyor;215/50 R17;17;50%;215;5; LED; Var;5;Kumas;Manuel;Manuel;Otomatik Klima;Var;Var;Var;Var;108;6;5;66;84;6314;6,59;8,1;4,6;52;;;;EURO 6.2;134
Ford Focus 1.6L Duratec 125 PS PowerShift Otomatik Titanium;Binek;Sedan;C;Ford;Focus;Focus 1,6L Duratec;Titanium;2014;Amerika;Fosil Yakit;Benzin;Icten Yanmali (Standart);Atmosferik;4;1596;Cok Noktadan Enjeksiyon;;;;Otomatik;PowerShift (YO);6 ileri;49;125;158;195;11,8;Onden Cekisli;Var;72;81;4534;2010;1484;1324;421;1148;215/55 R16;16;55%;215;5; Halojen; Var;5;Kumas;Manuel;Manuel;Otomatik Klima;Var;Var;Yok;Yok;109;6;5;70;76;3661;7,33;9,3;4,8;55;;;;EURO 5;149
Ford Focus 1.6L Duratec 125 PS Titanium;Binek;Sedan;C;Ford;Focus;Focus 1,6L Duratec;Titanium;2014;Amerika;Fosil Yakit;Benzin;Icten Yanmali (Standart);Atmosferik;4;1596;Cok Noktadan Enjeksiyon;;;;Manuel;Manuel;5 ileri;50;125;159;198;11;Onden Cekisli;Var;70;74;4534;1823;1484;1296;372;1215;215/55 R16;16;55%;215;5; Halojen; Var;5;Kumas;Manuel;Manuel;Otomatik Klima;Var;Var;Yok;Yok;108;6;5;75;83;3661;6,69;8,1;4,8;55;;;;EURO 5;139
Ford Focus 1.6TDCI 115 PS Titanium;Binek;Sedan;C;Ford;Focus;Focus 1,6Tdci;Titanium;2014;Amerika;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1560;Common Rail Direkt Enjeksiyon;;;;Manuel;Manuel;6 ileri;52;115;270;180;12,5;Onden Cekisli;Var;72;81;4534;2010;1484;1350;372;437;215/55 R16;16;55%;215;5; Halojen; Var;5;Kumas;Manuel;Manuel;Otomatik Klima;Var;Var;Yok;Yok;109;6;5;82;83;3661;4,87;5,7;3,7;53;;;;EURO 5;117
Ford Focus 4K 1.0 EcoBoost 125 PS Titanium;Binek;Sedan;C;Ford;Focus;Focus 4K;Titanium;2015, 2016, 2017;Amerika;Fosil Yakit;Benzin;Icten Yanmali (Standart);Turbo;3;999;Cok Noktadan Enjeksiyon;;;;Manuel;Manuel;5 ileri;50;125;170;194;11,1;Onden Cekisli;Var;71;80;4538;2010;1469;1306;421;1502;205/55 R16;16;55%;205;5; Halojen; Var;5;Kumas;Manuel;Manuel;Otomatik Klima;Var;Var;Yok;Var;109;6;5;90;91;1882;5,17;5,8;4,2;55;;;;EURO 5;110
Ford Focus 4K 1.5 TDCi 120 PS Powershift Titanium;Binek;Sedan;C;Ford;Focus;Focus 4K;Titanium;2015, 2016, 2017, 2018;Amerika;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1499;Common Rail Direkt Enjeksiyon;;;;Otomatik;PowerShift (YO);6 ileri;56;120;300;193;10,9;Onden Cekisli;Var;70;73;4538;1823;1469;1358;421;Koltuklar Katlanmiyor;205/55 R16;16;55%;205;5; Halojen; Var;5;Kumas;Manuel;Manuel;Otomatik Klima;Var;Var;Yok;Var;109;6;5;82;77;3661;4,44;4,7;3,9;53;;;;EURO 5;109
